,Unnamed: 0,x
0,1,CNS
1,2,CNS
2,3,CNS
3,4,RENAL
4,5,BREAST
5,6,CNS
6,7,CNS
7,8,BREAST
8,9,NSCLC
9,10,NSCLC
10,11,RENAL
11,12,RENAL
12,13,RENAL
13,14,RENAL
14,15,RENAL
15,16,RENAL
16,17,RENAL
17,18,BREAST
18,19,NSCLC
19,20,RENAL
20,21,UNKNOWN
21,22,OVARIAN
22,23,MELANOMA
23,24,PROSTATE
24,25,OVARIAN
25,26,OVARIAN
26,27,OVARIAN
27,28,OVARIAN
28,29,OVARIAN
29,30,PROSTATE
30,31,NSCLC
31,32,NSCLC
32,33,NSCLC
33,34,LEUKEMIA
34,35,K562B-repro
35,36,K562A-repro
36,37,LEUKEMIA
37,38,LEUKEMIA
38,39,LEUKEMIA
39,40,LEUKEMIA
40,41,LEUKEMIA
41,42,COLON
42,43,COLON
43,44,COLON
44,45,COLON
45,46,COLON
46,47,COLON
47,48,COLON
48,49,MCF7A-repro
49,50,BREAST
50,51,MCF7D-repro
51,52,BREAST
52,53,NSCLC
53,54,NSCLC
54,55,NSCLC
55,56,MELANOMA
56,57,BREAST
57,58,BREAST
58,59,MELANOMA
59,60,MELANOMA
60,61,MELANOMA
61,62,MELANOMA
62,63,MELANOMA
63,64,MELANOMA
